,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
306,60881602,A,0.0,164.11607178480543,Acropolis-XVe Corps,06088,Nice
307,60881603,A,0.0,158.69327537006538,Sainte-Rosalie-Arbre Inférieur,06088,Nice
308,60881604,A,0.0,157.4768052837031,Cimiez,06088,Nice
309,60881605,A,0.0,173.26240661944115,Caravadossi-George V,06088,Nice
310,60881606,A,3.0,153.33476574971627,Cimiez-Valrose,06088,Nice
311,60881701,A,5.0,173.56860161910825,Promenade du Paillon,06088,Nice
312,60881702,A,4.0,174.01184237470298,Hôpital Saint-Roch,06088,Nice
313,60881703,A,3.0,175.06292743837574,Raimbaldi,06088,Nice
314,60881704,A,1.0,174.28875136579555,Desambrois,06088,Nice
315,60881705,A,2.0,173.0839846418041,Sasserno,06088,Nice
316,60881801,C,0.0,150.89876138363323,Gare Nice-Ville,06088,Nice
317,60881802,A,1.0,177.1444515554525,Vernier,06088,Nice
318,60881803,A,5.0,179.61588644921977,Trachel,06088,Nice
319,60881804,A,5.0,177.9401948417253,Clément Roassal,06088,Nice
320,60881805,A,5.5,163.33676050480017,Garnier-Gare de Provence,06088,Nice
321,60881901,A,1.0,176.4836308366091,Grosso,06088,Nice
322,60881902,A,4.5,162.31337515945188,Église Russe,06088,Nice
323,60881903,A,5.0,157.99660449741168,Parc Impérial,06088,Nice
324,60882001,A,0.0,126.91495838356995,Le Piol-Cyrnos,06088,Nice
325,60882002,A,0.0,171.46881973938466,Saint-Philippe,06088,Nice
326,60882101,A,2.0,160.08503642135665,Carlone,06088,Nice
327,60882102,A,1.0,164.85191856930004,Madeleine Robiony,06088,Nice
328,60882103,A,1.0,136.5456934932754,La Bornala,06088,Nice
329,60882104,A,1.0,142.91704457232623,Madeleine,06088,Nice
330,60882201,A,14.5,168.8525613433695,Liberti-Albert 1er,06088,Nice
331,60882202,A,10.5,170.99145815018767,Notre-Dame,06088,Nice
332,60882203,A,23.333333333333332,171.82593079506725,Jean Médecin,06088,Nice
333,60882301,A,7.0,171.46535089564338,Musiciens,06088,Nice
334,60882302,A,8.5,174.6578174408851,Rossini,06088,Nice
335,60882303,A,6.0,171.14495069834507,Clemenceau,06088,Nice
336,60882304,A,1.5,170.68177611312387,Thiers-Durante,06088,Nice
337,60882401,A,5.0,170.80376604149987,France-Negresco,06088,Nice
338,60882402,A,10.0,180.3439694210811,Victor Hugo-Buffa,06088,Nice
339,60882501,A,4.0,167.0147335264004,Dante,06088,Nice
340,60882502,A,8.0,169.50759445928958,Bottero,06088,Nice
341,60882503,A,1.0,176.58729477539336,Potiers,06088,Nice
342,60882504,A,3.5,170.06000027810782,Châteauneuf,06088,Nice
343,60882601,A,13.5,165.1990784230682,Lenval,06088,Nice
344,60882602,A,6.0,154.6710338717645,Magnan,06088,Nice
345,60882603,A,0.0,159.43624242030154,Baumettes,06088,Nice
346,60882701,A,7.5,158.5506319168768,La Californie,06088,Nice
